White rating,Black rating,White result,Black result,Victory by checkmate,Victory by time,Victory by resignation,Opposite side castling,Other development
2443,147,0,1,1,0,0,0,1
2388,351,1,0,0,0,1,0,1
1165,2859,0,1,0,0,1,0,1
1975,2105,0,1,1,0,0,1,0
1980,2099,0,1,1,0,0,0,1
2093,1986,1,0,1,0,0,0,1
1975,2104,1,0,0,1,0,1,0
2115,1964,0,1,0,1,0,1,0
2021,409,1,0,0,0,1,0,1
1961,2118,0.5,0.5,0,0,0,1,0
1942,2114,0,1,1,0,0,0,1
2126,1949,0,1,0,1,0,0,1
1953,2122,0,1,1,0,0,0,1
2126,1949,0.5,0.5,0,0,0,0,1
1953,2122,0,1,1,0,0,0,1
2117,1958,1,0,1,0,0,0,1
1963,2112,0,1,1,0,0,0,1
2024,410,1,0,1,0,0,0,1
2033,1967,0,1,0,0,1,0,1
1962,411,1,0,1,0,0,0,1
1965,2035,0.5,0.5,0,0,0,1,0
2045,1955,0,1,1,0,0,0,1
1961,2039,0,1,0,0,1,0,1
2049,1951,0,1,0,0,1,0,1
2115,1959,0.5,0.5,0,0,0,0,1
1949,2051,0.5,0.5,0,0,0,0,1
2062,1938,0,1,0,0,1,0,1
1944,2056,0,1,1,0,0,0,1
2067,1933,0,1,1,0,0,0,1
1938,2062,0,1,0,0,1,0,1
2073,1927,0,1,1,0,0,0,1
1946,2111,0,1,1,0,0,0,1
1932,2068,0,1,0,0,1,0,1
2063,1937,1,0,0,0,1,0,1
1942,2058,0,1,0,0,1,0,1
2301,1705,1,0,0,0,1,0,1
2052,1948,1,0,0,0,1,0,1
1954,2046,0,1,1,0,0,0,1
2056,1944,0,1,0,0,1,0,1
1933,2067,1,0,1,0,0,0,1
2106,1970,1,0,1,0,0,0,1
2062,1938,1,0,1,0,0,0,1
1943,2057,0,1,0,0,1,1,0
1967,2109,0.5,0.5,0,0,0,0,1
2051,1949,1,0,0,0,1,0,1
2103,1991,1,0,1,0,0,1,0
1885,411,1,0,1,0,0,0,1
