White rating,Black rating,White result,Black result,Victory by checkmate,Victory by time,Victory by resignation,Opposite side castling,Other development
1971,2082,0.5,0.5,0,0,0,0,1
2913,2544,1,0,0,0,1,0,1
2085,1968,0.5,0.5,0,0,0,1,0
2538,2919,0.5,0.5,0,0,0,0,1
1974,2079,0,1,1,0,0,0,1
2073,1980,1,0,1,0,0,1,0
1986,2067,0,1,1,0,0,0,1
2077,1976,0,1,0,0,1,0,1
2088,1973,0,1,0,0,1,0,1
2917,2540,1,0,0,1,0,1,0
1980,2082,0,1,1,0,0,0,1
2534,2923,0.5,0.5,0,0,0,0,1
2093,1969,0,1,0,0,1,1,0
1974,2088,0,1,1,0,0,1,0
2082,1980,1,0,1,0,0,1,0
2921,2536,1,0,0,1,0,0,1
1962,2093,1,0,1,0,0,0,1
2538,2919,0,1,0,0,1,0,1
2103,1985,1,0,1,0,0,1,0
1991,2097,0,1,1,0,0,1,0
2099,1989,0.5,0.5,0,0,0,1,0
1995,2093,0,1,1,0,0,1,0
2958,325,0.5,0.5,0,0,0,0,1
2087,2001,1,0,1,0,0,1,0
1999,2089,0.5,0.5,0,0,0,1,0
2099,1989,0,1,0,0,1,1,0
2918,1148,1,0,1,0,0,0,1
2094,1967,1,0,1,0,0,1,0
1148,2918,0,1,1,0,0,0,1
1972,2089,0,1,1,0,0,0,1
2083,1978,1,0,1,0,0,0,1
2918,1148,1,0,0,0,1,0,1
2917,318,0.5,0.5,0,0,0,0,1
2923,2532,0.5,0.5,0,0,0,0,1
1983,2077,0,1,1,0,0,0,1
2079,1981,0.5,0.5,0,0,0,1,0
2525,2930,0.5,0.5,0,0,0,0,1
1970,2090,1,0,0,0,1,1,0
1149,2930,0,1,0,0,1,0,1
2084,1976,1,0,1,0,0,1,0
2930,1278,1,0,0,0,1,0,1
1982,2078,0,1,1,0,0,0,1
2089,1971,0,1,0,0,1,1,0
1977,2083,0,1,1,0,0,0,1
2077,1983,1,0,1,0,0,1,0
1972,2088,1,0,1,0,0,0,1
2091,1969,0.5,0.5,0,0,0,0,1
1966,2094,0.5,0.5,0,0,0,0,1
2734,288,0,1,0,0,1,0,1
1977,2097,0.5,0.5,0,0,0,1,0
2100,1974,0.5,0.5,0,0,0,0,1
1979,2095,0,1,1,0,0,0,1
2098,1976,0.5,0.5,0,0,0,1,0
1965,2109,1,0,0,1,0,0,1
2104,1970,1,0,1,0,0,0,1
1959,2115,1,0,0,0,1,1,0
2127,1947,0,1,0,0,1,1,0
2131,1964,0.5,0.5,0,0,0,1,0
2415,322,0.5,0.5,0,0,0,0,1
2055,2141,1,0,0,0,1,0,1
1968,2137,0,1,1,0,0,0,1
2141,1964,0.5,0.5,0,0,0,1,0
2137,1956,1,0,1,0,0,0,1
1969,2132,0,1,1,0,0,0,1
2088,1959,1,0,1,0,0,0,1
2420,289,1,0,1,0,0,0,1
2127,1974,1,0,1,0,0,0,1
1962,2139,1,0,0,1,0,0,1
2151,1971,0,1,0,1,0,1,0
2930,1568,1,0,0,0,1,1,0
1967,2155,0.5,0.5,0,0,0,0,1
2167,1955,0,1,0,0,1,0,1
2744,377,1,0,0,0,1,0,1
1688,290,1,0,1,0,0,0,1
1860,2173,0.5,0.5,0,0,0,0,1
2662,279,1,0,0,0,1,0,1
2407,151,0,1,1,0,0,0,1
2409,279,1,0,0,0,1,0,1
2930,1583,1,0,0,0,1,1,0
2734,290,0,1,0,0,1,1,0
2414,381,1,0,0,0,1,0,1
2733,314,0,1,1,0,0,0,1
2656,291,0,1,0,0,1,0,1
2196,280,1,0,1,0,0,0,1
2055,280,1,0,1,0,0,0,1
2655,315,0,1,0,0,1,0,1
2732,257,0,1,1,0,0,0,1
2198,384,1,0,0,0,1,0,1
2413,315,0,1,1,0,0,0,1
2732,266,0,1,0,0,1,0,1
2056,385,1,0,0,0,1,0,1
2652,257,0,1,0,0,1,0,1
2206,293,1,0,1,0,0,0,1
2017,281,1,0,0,0,1,0,1
2059,293,1,0,1,0,0,0,1
2652,266,0,1,0,0,1,0,1
1817,281,1,0,0,0,1,0,1
2405,258,0,1,1,0,0,0,1
2732,237,0,1,0,0,1,0,1
2017,387,1,0,0,0,1,0,1
2066,317,1,0,1,0,0,0,1
2732,180,0,1,0,0,1,0,1
1817,387,1,0,0,0,1,0,1
2403,266,0,1,0,0,1,0,1
2196,259,0,1,1,0,0,0,1
2021,295,1,0,0,0,1,0,1
1744,281,1,0,0,0,1,0,1
2652,237,0,1,1,0,0,0,1
2208,267,1,0,0,0,1,0,1
1818,295,1,0,0,0,1,0,1
2652,180,0,1,0,0,1,0,1
1698,281,1,0,1,0,0,0,1
2013,320,1,0,0,0,1,0,1
2399,237,0,1,0,0,1,1,0
2732,151,0,1,1,0,0,0,1
1744,387,1,0,0,0,1,0,1
2399,180,0,1,0,0,1,0,1
2064,268,0,1,0,0,1,1,0
1821,322,1,0,0,0,1,0,1
1698,387,1,0,1,0,0,0,1
1744,295,1,0,0,0,1,0,1
2011,260,0,1,0,0,1,0,1
2200,237,0,1,0,0,1,0,1
2652,151,0,1,1,0,0,0,1
2401,323,0.5,0.5,0,0,0,0,1
1966,2197,0,1,0,0,0,0,1
2194,1969,1,0,1,0,0,0,1
2652,1372,1,0,1,0,0,1,0
1705,2495,0,1,1,0,0,0,1
2293,441,0,1,1,0,0,0,1
2139,2052,1,0,0,0,1,0,1
2282,296,0,1,0,0,1,0,1
1703,2507,0,1,0,0,1,0,1
2507,1703,1,0,1,0,0,0,1
2407,326,0,1,0,0,1,0,1
2506,163,0,1,1,0,0,0,1
1976,2037,0,1,1,0,0,0,1
2030,1983,1,0,1,0,0,0,1
1990,2023,0,1,0,0,0,0,1
2032,1981,0,1,1,0,0,0,1
2288,343,1,0,0,0,1,0,1
2747,297,0.5,0.5,0,0,0,0,1
2506,1838,1,0,0,1,0,0,1
2746,327,0,1,0,0,1,0,1
2290,344,1,0,0,0,1,0,1
1633,2506,0,1,1,0,0,0,1
2169,1959,1,0,1,0,0,0,1
1960,444,1,0,1,0,0,0,1
1963,2165,0,1,1,0,0,0,1
2501,327,0,1,0,0,1,0,1
2161,1956,1,0,1,0,0,0,1
1959,2157,0,1,1,0,0,0,1
2153,1963,1,0,1,0,0,1,0
1967,2149,0,1,1,0,0,1,0
2161,1955,0,1,1,0,0,1,0
2652,1804,1,0,1,0,0,0,1
1952,2173,1,0,0,0,1,0,1
2169,1956,1,0,1,0,0,0,1
1960,2165,0,1,1,0,0,0,1
2161,1958,1,0,1,0,0,0,1
2079,2155,0,1,0,0,1,0,1
2069,447,1,0,0,0,1,1,0
2151,1964,1,0,1,0,0,0,1
1962,2147,0,1,1,0,0,1,0
2143,1966,1,0,1,0,0,1,0
1954,2155,1,0,0,0,1,0,1
2499,162,0,1,1,0,0,0,1
1961,289,1,0,1,0,0,0,1
2151,1968,1,0,1,0,0,0,1
1972,2147,0,1,1,0,0,0,1
2143,1976,1,0,1,0,0,0,1
2056,152,0,1,0,0,1,0,1
1981,2138,0,1,1,0,0,0,1
2134,1961,1,0,1,0,0,0,1
1957,2138,0.5,0.5,0,0,0,1,0
2134,1961,1,0,1,0,0,0,1
1949,2146,1,0,0,1,0,1,0
2142,1953,1,0,1,0,0,1,0
1957,2138,0,1,1,0,0,0,1
2134,1961,1,0,1,0,0,0,1
1965,2130,0,1,1,0,0,0,1
2142,1953,0,1,0,0,1,1,0
1988,291,1,0,1,0,0,0,1
2135,2086,1,0,0,0,1,0,1
2040,257,0,1,0,0,1,0,1
1993,448,1,0,0,0,1,0,1
2497,163,0,1,1,0,0,0,1
2407,2519,0,1,0,0,1,0,1
1955,2131,0,1,1,0,0,1,0
2127,1959,1,0,1,0,0,1,0
2964,275,0.5,0.5,0,0,0,0,1
2730,315,1,0,0,0,1,0,1
1959,2123,0,1,1,0,0,0,1
2966,276,0.5,0.5,0,0,0,0,1
2118,1964,1,0,1,0,0,0,1
2728,316,1,0,0,0,1,1,0
1969,2113,0,1,1,0,0,0,1
2960,277,0,1,0,0,1,1,0
2734,318,1,0,0,0,1,1,0
2962,278,0.5,0.5,0,0,0,0,1
2731,491,1,0,0,0,1,1,0
1975,2063,1,0,0,1,0,0,1
3033,277,0,1,0,0,1,0,1
1720,2652,0,1,0,1,0,0,1
2736,496,1,0,0,0,1,0,1
2288,317,0,1,0,0,1,0,1
2206,326,1,0,0,0,1,0,1
2877,278,0,1,0,0,1,0,1
3029,381,0,1,0,0,1,0,1
2746,849,1,0,0,0,1,0,1
2871,279,0.5,0.5,0,0,0,1,0
2656,501,1,0,0,0,1,1,0
2740,897,0.5,0.5,0,0,0,0,1
2656,1568,1,0,0,0,1,0,1
3033,281,0.5,0.5,0,0,0,0,1
2744,327,0,1,0,0,1,0,1
1568,2656,0,1,0,0,1,0,1
2284,341,1,0,0,0,1,0,1
2742,327,0,1,0,0,1,0,1
2664,1560,0.5,0.5,0,0,0,0,1
2286,343,1,0,0,0,1,0,1
2268,2516,0,1,0,0,1,0,1
2740,328,0,1,0,0,1,0,1
2288,344,1,0,0,0,1,0,1
2513,2271,1,0,0,0,1,0,1
2413,2507,0,1,0,0,1,0,1
2738,328,0,1,0,0,1,0,1
2737,506,1,0,0,0,1,0,1
2518,2402,0,1,0,0,0,0,1
2290,346,1,0,0,0,1,0,1
2736,329,0,1,1,0,0,0,1
3027,281,0,1,0,0,1,0,1
2292,346,1,0,1,0,0,0,1
2743,511,1,0,0,0,1,0,1
1560,2664,0,1,0,1,0,0,1
2734,330,0,1,0,0,1,0,1
3021,281,0,1,0,0,1,0,1
2294,347,1,0,0,0,1,0,1
2749,518,1,0,0,0,1,0,1
2732,330,0,1,0,0,1,0,1
3015,282,0,1,0,0,1,0,1
1926,2109,0,1,1,0,0,0,1
2296,348,1,0,0,0,1,0,1
2105,1930,1,0,1,0,0,0,1
2730,331,0,1,0,0,1,1,0
2755,526,1,0,0,0,1,0,1
3009,284,0,1,0,0,1,0,1
2664,1702,1,0,1,0,0,0,1
2298,349,1,0,0,0,1,0,1
2728,331,0,1,0,0,1,0,1
2761,534,1,0,0,0,1,0,1
3003,284,0,1,0,0,1,0,1
2300,350,1,0,0,0,1,0,1
2767,542,1,0,0,0,1,0,1
2997,381,0,1,0,0,1,0,1
2726,332,0,1,0,0,1,0,1
2993,286,0,1,0,0,1,0,1
2775,554,1,0,0,0,1,0,1
2074,290,0,1,0,0,1,0,1
2000,291,0,1,0,0,1,0,1
2307,291,1,0,0,0,1,0,1
2057,147,1,0,0,0,1,0,1
1988,293,0.5,0.5,0,0,0,0,1
2994,286,0.5,0.5,0,0,0,0,1
2668,564,1,0,0,0,1,0,1
2988,287,0,1,0,0,1,1,0
2771,573,0.5,0.5,0,0,0,1,0
3009,288,1,0,1,0,0,1,0
2753,585,0.5,0.5,0,0,0,0,1
1930,2101,0,1,1,0,0,0,1
3022,289,0.5,0.5,0,0,0,1,0
2743,595,0.5,0.5,0,0,0,0,1
2912,290,0.5,0.5,0,0,0,0,1
1553,2930,0,1,1,0,0,0,1
2930,1553,1,0,0,0,1,1,0
1553,2930,0,1,1,0,0,0,1
2096,1949,1,0,1,0,0,0,1
1954,2091,0,1,1,0,0,0,1
2086,1959,1,0,1,0,0,0,1
1964,2081,0,1,1,0,0,0,1
2092,1953,0,1,0,1,0,1,0
2039,1992,0,1,1,0,0,0,1
1999,2032,0,1,0,0,1,0,1
1958,2087,0,1,1,0,0,0,1
2082,1963,1,0,1,0,0,0,1
2041,1988,0,1,0,0,1,0,1
1969,2076,0,1,1,0,0,0,1
2070,1975,1,0,1,0,0,0,1
1995,2034,0,1,0,0,1,0,1
1973,2072,0.5,0.5,0,0,0,0,1
2043,1986,0,1,0,0,1,0,1
1993,2036,0,1,0,0,1,0,1
2045,1984,0,1,1,0,0,0,1
1991,2038,0,1,0,0,1,0,1
2083,1962,0,1,0,1,0,0,1
2048,1981,0,1,1,0,0,0,1
1988,2041,0,1,0,0,1,0,1
2051,1978,0,1,0,0,1,0,1
1985,2044,0,1,1,0,0,0,1
1959,2086,0.5,0.5,0,0,0,1,0
2037,1992,1,0,1,0,0,0,1
1983,2046,1,0,0,0,1,0,1
2081,1964,1,0,1,0,0,0,1
2056,1973,0,1,0,0,1,0,1
1979,2050,0,1,0,0,1,0,1
1935,2076,0,1,1,0,0,0,1
2043,1986,1,0,0,0,1,0,1
1993,2036,0,1,0,0,1,0,1
2029,2000,1,0,1,0,0,0,1
2008,2021,0,1,1,0,0,0,1
2087,1953,0,1,0,1,0,1,0
1958,2082,0,1,1,0,0,0,1
2093,1947,0,1,0,0,1,0,1
1952,2088,0,1,0,1,0,0,1
2938,1520,1,0,0,0,1,0,1
2083,1957,1,0,1,0,0,0,1
2095,1923,0,1,1,0,0,0,1
1911,2107,1,0,0,1,0,0,1
2120,1898,0,1,0,0,1,1,0
1145,2930,0,1,0,0,1,0,1
2930,1145,1,0,1,0,0,0,1
1952,2115,0,1,1,0,0,0,1
2110,1957,1,0,1,0,0,0,1
1962,2105,0,1,1,0,0,1,0
2065,2114,1,0,0,0,1,1,0
2110,1902,1,0,1,0,0,0,1
1906,2106,0,1,1,0,0,0,1
2101,1967,1,0,1,0,0,1,0
1972,2096,0,1,1,0,0,0,1
2092,1910,1,0,1,0,0,0,1
1914,2088,0,1,1,0,0,0,1
2519,2929,0,1,0,0,0,0,1
2736,382,1,0,0,0,1,0,1
2082,1978,1,0,1,0,0,1,0
2648,351,0,1,0,0,1,0,1
2928,2520,1,0,0,0,0,0,1
2513,2935,0.5,0.5,0,0,0,0,1
2398,352,1,0,0,0,1,0,1
1800,2270,0,1,0,1,0,0,1
2934,2514,1,0,0,0,0,0,1
2507,2941,0.5,0.5,0,0,0,0,1
2269,1801,1,0,0,0,1,0,1
2742,290,0,1,0,0,1,0,1
2940,2508,1,0,1,0,0,0,1
1802,2268,0,1,0,0,1,1,0
2509,2939,0,1,0,0,1,0,1
2403,386,1,0,0,0,1,0,1
2938,2510,1,0,0,0,0,0,1
2741,315,0,1,0,0,1,1,0
2511,2937,0,1,0,0,1,0,1
2642,291,0,1,0,0,1,0,1
2936,2512,1,0,0,0,1,0,1
2505,2943,0.5,0.5,0,0,0,0,1
2206,354,1,0,0,0,1,0,1
2942,2506,1,0,1,0,0,0,1
2507,2941,0,1,0,0,1,0,1
2057,354,1,0,0,0,1,0,1
2641,316,0,1,0,0,1,0,1
2940,2508,1,0,0,0,1,0,1
2208,389,1,0,0,0,1,0,1
2740,254,0,1,0,0,1,0,1
2509,2939,0,1,0,0,1,0,1
2402,316,0,1,0,0,1,0,1
2938,2510,1,0,1,0,0,0,1
2058,390,1,0,0,0,1,0,1
2511,2937,0,1,0,0,1,0,1
2740,262,0,1,0,0,1,0,1
2944,2504,0.5,0.5,0,0,0,0,1
2216,292,1,0,1,0,0,0,1
2638,254,0,1,0,0,1,0,1
2497,2951,0.5,0.5,0,0,0,0,1
1991,355,1,0,0,0,1,1,0
2061,293,1,0,1,0,0,0,1
2950,2498,1,0,0,0,1,0,1
2499,2949,0,1,0,0,1,0,1
2948,2500,1,0,0,0,1,0,1
2638,262,0,1,0,0,1,0,1
2007,355,1,0,0,0,1,0,1
2501,2947,0,1,0,0,1,0,1
2394,255,0,1,1,0,0,0,1
2740,148,0,1,0,0,1,0,1
1991,391,1,0,0,0,1,0,1
2946,2502,1,0,0,0,1,0,1
2068,318,1,0,0,0,1,0,1
2503,2945,0,1,0,0,1,0,1
2944,2504,1,0,0,0,1,0,1
2740,155,0,1,1,0,0,0,1
2007,391,1,0,1,0,0,0,1
2393,262,0,1,0,0,1,0,1
2206,256,0,1,0,0,1,0,1
1975,355,1,0,1,0,0,0,1
1993,294,1,0,0,0,1,0,1
2638,147,0,1,0,0,1,1,0
2202,263,0,1,0,0,1,0,1
2009,295,1,0,0,0,1,1,0
1888,355,1,0,1,0,0,0,1
2638,155,0,1,1,0,0,0,1
2943,2505,1,0,0,0,1,1,0
2740,221,0,1,1,0,0,0,1
2506,2942,0,1,1,0,0,0,1
2942,1190,1,0,1,0,0,0,1
1975,392,1,0,1,0,0,0,1
2001,321,1,0,1,0,0,0,1
2388,147,0,1,0,0,1,0,1
2015,322,1,0,0,0,1,1,0
2083,264,1,0,0,0,1,0,1
2387,155,0,1,1,0,0,0,1
1888,392,1,0,0,0,1,0,1
2740,240,0,1,0,0,1,0,1
1977,296,1,0,1,0,0,0,1
2190,147,0,1,0,0,1,0,1
1997,257,1,0,0,0,1,0,1
2638,221,0,1,0,0,1,0,1
1907,355,1,0,0,0,1,0,1
2186,155,0,1,1,0,0,0,1
2009,257,0,1,0,0,1,0,1
2942,1190,1,0,0,1,0,0,1
1889,296,1,0,0,0,1,0,1
2638,240,0,1,0,0,1,0,1
1710,355,1,0,0,0,1,0,1
2384,221,0,1,0,0,1,0,1
1985,326,1,0,1,0,0,1,0
2080,147,0,1,0,0,1,0,1
2740,188,0,1,0,0,1,0,1
1907,392,1,0,0,0,1,0,1
2383,240,0,1,0,0,1,1,0
1710,392,1,0,0,0,1,0,1
1893,327,1,0,1,0,0,0,1
2740,147,0,1,1,0,0,0,1
2008,265,0,1,0,0,1,0,1
2074,155,0,1,0,0,1,0,1
1989,259,0.5,0.5,0,0,0,0,1
1909,296,1,0,0,0,1,0,1
1695,355,1,0,1,0,0,1,0
2176,221,0,1,0,0,1,0,1
2638,188,0,1,0,0,1,0,1
2013,148,1,0,0,0,1,0,1
2005,155,0,1,1,0,0,0,1
2173,240,0,1,0,0,1,0,1
1710,297,1,0,0,0,1,0,1
2638,147,0,1,1,0,0,0,1
1915,329,1,0,0,0,1,0,1
2382,188,0,1,0,0,1,0,1
1988,267,0,1,0,0,1,0,1
1695,392,1,0,1,0,0,0,1
1733,2267,0,1,1,0,0,0,1
2382,147,0,1,1,0,0,1,0
1695,297,1,0,1,0,0,0,1
1978,2034,1,0,0,0,1,0,1
2044,1968,0,1,0,0,1,1,0
2739,331,0,1,0,0,1,0,1
1958,2054,1,0,0,0,1,0,1
2048,1979,1,0,1,0,0,0,1
2042,1960,1,0,1,0,0,0,1
1958,2044,0.5,0.5,0,0,0,1,0
2038,1964,1,0,1,0,0,0,1
1954,2048,1,0,0,1,0,1,0
1827,2638,0,1,0,0,1,0,1
2941,312,0.5,0.5,0,0,0,0,1
1969,2058,1,0,1,0,0,1,0
2060,1967,0.5,0.5,0,0,0,1,0
2972,328,1,0,1,0,0,0,1
1973,2054,0,1,1,0,0,0,1
2064,1963,0,1,0,0,1,0,1
2923,315,0,1,1,0,0,0,1
2982,331,0.5,0.5,0,0,0,0,1
1959,2058,0,1,1,0,0,0,1
2052,1965,1,0,1,0,0,0,1
1969,2046,0,1,1,0,0,1,0
2921,318,0.5,0.5,0,0,0,0,1
2056,1959,0,1,0,1,0,1,0
2984,333,0.5,0.5,0,0,0,0,1
1965,2050,0,1,1,0,0,0,1
2918,320,0.5,0.5,0,0,0,0,1
2044,1971,1,0,1,0,0,1,0
1978,2037,0,1,1,0,0,0,1
2047,1968,0,1,1,0,0,1,0
1975,2040,0,1,1,0,0,0,1
2060,146,0,1,0,0,1,0,1
2042,1973,0.5,0.5,0,0,0,0,1
1980,2035,0,1,1,0,0,0,1
2045,1970,0,1,0,0,1,0,1
1960,2055,1,0,0,0,1,0,1
2049,1966,1,0,1,0,0,1,0
1972,2043,0,1,1,0,0,0,1
2034,2085,1,0,1,0,0,0,1
1979,2027,0,1,1,0,0,0,1
2020,1986,1,0,1,0,0,0,1
2014,1996,0,1,1,0,0,0,1
1987,2023,1,0,0,0,1,0,1
2032,1978,0,1,0,0,1,0,1
1977,2029,1,0,0,0,1,0,1
1985,2025,0,1,0,0,1,0,1
2039,1967,0,1,0,0,1,1,0
2298,295,0,1,0,0,1,0,1
1979,2032,0,1,1,0,0,1,0
2025,1986,1,0,1,0,0,0,1
1985,2026,0.5,0.5,0,0,0,0,1
2034,1995,0,1,1,0,0,0,1
1986,2043,1,0,0,0,1,0,1
2053,1976,0,1,0,0,1,0,1
1983,2046,0,1,0,0,1,1,0
2019,1992,1,0,1,0,0,1,0
2039,1990,1,0,0,0,1,0,1
1997,2032,0,1,0,0,1,0,1
2000,2011,0,1,1,0,0,1,0
2041,1988,0,1,0,0,1,0,1
1995,2034,0,1,0,0,1,0,1
2043,1986,0,1,1,0,0,0,1
2003,2008,1,0,1,0,0,0,1
1993,2036,0,1,0,0,1,0,1
2045,1984,0,1,0,0,1,0,1
1991,2038,0,1,0,0,1,0,1
2008,2003,0.5,0.5,0,0,0,0,1
2047,1982,0,1,0,0,1,0,1
1989,2040,0,1,1,0,0,0,1
2050,1979,0,1,0,0,1,0,1
1986,2043,0,1,1,0,0,0,1
1995,2016,1,0,1,0,0,0,1
2008,2003,1,0,0,0,1,0,1
2053,1976,0,1,0,0,1,0,1
1995,2016,1,0,1,0,0,0,1
1966,2063,1,0,0,0,1,0,1
2057,1972,1,0,1,0,0,0,1
1978,2051,0,1,0,0,1,0,1
2008,2003,1,0,0,0,1,0,1
2403,331,1,0,0,0,1,0,1
2044,1985,1,0,0,0,1,0,1
1975,2054,1,0,0,0,1,0,1
2003,2008,0.5,0.5,0,0,0,0,1
2008,2003,0.5,0.5,0,0,0,1,0
2047,1981,1,0,0,0,1,0,1
1979,2049,0.5,0.5,0,0,0,0,1
1994,2017,1,0,1,0,0,0,1
2018,1993,0.5,0.5,0,0,0,0,1
2051,1977,0.5,0.5,0,0,0,0,1
1984,2044,0,1,1,0,0,0,1
2001,2010,0,1,0,0,1,0,1
2037,1991,1,0,0,0,1,0,1
1998,2030,0,1,0,0,1,0,1
2039,1989,0,1,0,0,1,0,1
1996,2032,0,1,0,0,1,1,0
2019,1992,0,1,1,0,0,0,1
2024,2004,1,0,0,0,1,0,1
2004,2024,0.5,0.5,0,0,0,0,1
2033,1995,0,1,0,0,1,0,1
1983,2028,1,0,1,0,0,0,1
2002,2026,0,1,1,0,0,0,1
2029,1982,0.5,0.5,0,0,0,0,1
2018,2010,1,0,0,0,1,0,1
2018,2010,0,1,1,0,0,0,1
2018,2010,0,1,0,0,1,0,1
2018,2010,0,1,0,0,1,0,1
1989,2022,0,1,0,0,1,0,1
2018,2010,0,1,1,0,0,0,1
2018,2010,0,1,0,0,1,0,1
2023,1988,0.5,0.5,0,0,0,0,1
2018,2010,0,1,1,0,0,0,1
2018,2010,0,1,0,0,1,0,1
2266,1759,1,0,1,0,0,0,1
1979,2032,1,0,1,0,0,0,1
2025,1986,1,0,0,0,1,0,1
1977,2034,1,0,1,0,0,0,1
2284,297,0.5,0.5,0,0,0,0,1
2000,2010,0,1,0,0,1,0,1
2400,334,0,1,0,0,1,0,1
2296,298,1,0,0,0,1,0,1
2009,157,1,0,0,0,1,0,1
2744,350,1,0,0,0,1,0,1
1870,2264,0,1,0,1,0,0,1
2911,286,0.5,0.5,0,0,0,0,1
2302,518,1,0,0,0,1,0,1
2316,2011,0,1,0,0,0,0,1
2173,2311,0,1,0,0,1,0,1
2322,2162,0,1,0,0,1,0,1
2087,2319,0,1,0,0,1,0,1
2332,2074,0,1,0,0,1,0,1
2112,1900,1,0,1,0,0,0,1
2132,2024,1,0,0,0,1,0,1
2043,2099,1,0,0,0,1,0,1
2000,2261,0,1,0,0,1,0,1
2085,337,1,0,1,0,0,0,1
2258,2003,1,0,0,0,1,0,1
2736,352,0.5,0.5,0,0,0,0,1
2005,2392,0,1,0,0,1,0,1
2737,299,0,1,0,0,1,0,1
2388,353,0.5,0.5,0,0,0,0,1
2741,299,0,1,0,0,1,0,1
2727,355,0,1,0,0,1,0,1
2764,300,1,0,1,0,0,0,1
2575,358,0.5,0.5,0,0,0,0,1
2767,338,0,1,0,0,1,0,1
2300,359,1,0,0,0,1,0,1
2911,288,0,1,0,0,1,0,1
2765,339,0,1,0,0,1,0,1
2727,355,0.5,0.5,0,0,0,1,0
2302,360,1,0,0,0,1,0,1
2919,290,0.5,0.5,0,0,0,0,1
2763,339,0,1,0,0,1,0,1
2304,361,1,0,0,0,1,0,1
2761,340,0,1,0,0,1,0,1
2083,299,0.5,0.5,0,0,0,0,1
2306,362,1,0,0,0,1,0,1
2133,1868,1,0,1,0,0,0,1
2369,341,0,1,0,0,1,0,1
2638,1720,1,0,0,1,0,0,1
2719,406,0.5,0.5,0,0,0,0,1
2004,299,1,0,1,0,0,0,1
2927,291,0,1,0,1,0,1,0
2765,359,1,0,1,0,0,1,0
2727,410,1,0,0,0,1,0,1
2927,292,0.5,0.5,0,0,0,0,1
2727,414,1,0,0,0,1,0,1
2918,360,0.5,0.5,0,0,0,0,1
2914,334,0.5,0.5,0,0,0,0,1
2314,365,1,0,0,0,1,0,1
2914,293,0,1,0,0,1,0,1
2735,336,1,0,0,0,1,0,1
2914,294,0.5,0.5,0,0,0,0,1
2735,339,1,0,0,0,1,0,1
1386,2910,0,1,1,0,0,0,1
2907,388,0,1,0,0,1,0,1
2644,341,1,0,0,0,1,0,1
2276,2086,1,0,0,0,1,0,1
2901,391,0,1,0,0,1,0,1
2650,343,1,0,0,0,1,0,1
2895,394,0,1,0,0,1,0,1
2321,299,1,0,0,0,1,0,1
2371,343,1,0,0,0,1,1,0
1982,2270,0,1,0,0,1,0,1
2319,301,1,0,0,0,1,0,1
2501,2369,1,0,0,0,1,1,0
2358,2512,1,0,0,0,0,0,1
2524,2346,0,1,0,0,0,0,1
2334,2536,1,0,0,0,0,0,1
2549,2321,0,1,0,0,0,0,1
2010,152,1,0,0,0,1,0,1
2308,2562,1,0,0,1,0,0,1
2763,344,0,1,0,0,1,0,1
2321,363,1,0,0,0,1,0,1
2761,345,0,1,0,0,1,0,1
2256,2317,1,0,0,0,1,0,1
2271,1878,0,1,0,0,1,0,1
1805,2278,0.5,0.5,0,0,0,1,0
2317,345,0.5,0.5,0,0,0,0,1
2330,306,1,0,0,0,1,0,1
1616,2653,0,1,0,0,1,0,1
2159,515,0.5,0.5,0,0,0,0,1
2269,294,0,1,1,0,0,0,1
2269,524,0,1,1,0,0,0,1
2036,530,1,0,0,0,1,0,1
2272,555,0,1,0,0,1,0,1
2914,1297,1,0,1,0,0,1,0
2317,346,1,0,0,0,1,0,1
1297,2914,0,1,1,0,0,0,1
1879,2267,0,1,0,1,0,0,1
2265,1889,1,0,1,0,0,0,1
2914,1634,1,0,1,0,0,0,1
1493,2653,0,1,1,0,0,0,1
2653,1493,1,0,1,0,0,1,0
1493,2653,0,1,1,0,0,0,1
2914,1118,1,0,1,0,0,0,1
2910,288,0,1,0,0,1,0,1
2910,1198,1,0,0,0,1,0,1
1330,2910,0,1,0,0,1,0,1
2653,1490,1,0,0,0,1,0,1
2066,2085,0.5,0.5,0,0,0,0,1
2910,1330,1,0,0,0,1,0,1
2161,2060,0.5,0.5,0,0,0,0,1
2077,2068,1,0,0,0,1,0,1
2051,2086,1,0,1,0,0,0,1
2042,1963,1,0,0,0,1,0,1
1970,2035,0,1,1,0,0,0,1
2028,1977,1,0,0,0,1,0,1
1984,2021,0,1,0,0,1,0,1
2030,1975,0,1,0,0,1,0,1
1982,2023,0,1,0,0,1,0,1
2024,1981,0.5,0.5,0,0,0,0,1
1988,2017,0,1,1,0,0,0,1
2009,1996,1,0,1,0,0,0,1
2004,2001,0,1,0,0,1,0,1
2009,1996,0,1,0,0,1,0,1
2004,2001,0,1,0,0,1,0,1
1993,2012,1,0,0,0,1,0,1
2012,1993,0.5,0.5,0,0,0,0,1
2001,2004,0,1,0,0,1,0,1
2012,1993,0,1,0,0,1,0,1
2001,2004,0,1,1,0,0,0,1
2012,1993,0,1,0,0,1,0,1
2509,345,1,0,0,0,0,0,1
2001,2004,0,1,0,0,1,0,1
2008,294,1,0,0,0,1,0,1
2030,251,0,1,0,0,1,0,1
2069,2087,0,1,0,1,0,0,1
2065,2096,1,0,1,0,0,0,1
